가게,맛,양,주문,사용자id,리뷰
킹케밥-홍대점,4,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1(EXTRA 추가선택(양갈비 1개 추가 （Meat）)),초콜릿 푸딩 （Chocolate Puding）/1",kk,"완벽하진 않았지만, 각종 현실적 허들을 감안하면 꽤 괜찮았습니다. 종합적으로 아다나 > 치킨 시시 > 나머지 순 정도로 괜찮아요."
킹케밥-홍대점,1,1,	,si,"
킹 케밥 （King Kebab）/1(메뉴 선택(팔라펠 킹 케밥 （Falafel）)),킹 케밥 （King Kebab）/1(메뉴 선택(램 킹 케밥 （Lamb）))"
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1(세트 추가선택（SET UPGRADE）(감자튀김 ＋ 콜라 [Coke] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Lamb）))",zz,간만에 맛나게 먹었습니다~~~~~
킹케밥-홍대점,5,5,"비프 케밥 （Beef Kebab）/1,치즈 케밥 （Cheesy Kebab）/1(메뉴 선택(치킨 치즈 케밥 （Chicken）))",hy,여기 정말 맛집 입니다
킹케밥-홍대점,5,5,"램 케밥 （Lamb Kebab）/1(EXTRA 추가선택(고기 추가 [Meat])),킹 케밥 （King Kebab）/1(메뉴 선택(믹스 킹 케밥 （Mix）)),이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(믹스 （Mix）))",gh,맛있게 잘 먹었습니다!!
킹케밥-홍대점,5,5,"믹스 케밥 （Mix Kebab）/1(EXTRA 추가선택(치즈 추가 [Cheese]),EXTRA 추가선택(고기 추가 [Meat]),EXTRA 추가선택(라이스 추가 [Rice]))",oh,평소에 맛있게잘먹어서 안좋은얘기 하고싶지않았는데 적을수밖에 없을거같아요. 배달 한시간이 지나도록 완료가안돼서 뭔가싶었습니다. 바쁜가보다 하고 이해하고 기다렸는데 옆집이웃께서 배달 오배송됐다고 새벽1시에 전해주러오신거 보고 기겁했네요. 배달완료문자 보내달라고 적어뒀는데 문자도 안보내주셔서 배달완료는 언제된지도 모르겠고..잘주무시던 이웃깨운거에 죄송하고.. 정말 어이없는 상황에 실망하고 잘적지않는 장문 리뷰적습니다. 이런일 다시는 발생하지않았으면 좋겠습니다.
킹케밥-홍대점,3,4,램 케밥 （Lamb Kebab）/2,lo,양 그낭저냥 배달적당함 맛은별로에요
킹케밥-홍대점,5,5,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(치킨 （Chicken）)),lj,와 진짜 넘 맛있게 잘 먹었습니다 자주 시켜먹을 거 같아요 케밥 터키에서 잘 못 먹고 별로라고 생각했는데 .. 제 인식을 바꿔준 맛집입니다.
킹케밥-홍대점,5,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1,아이란 （Ayran）/1",dr,고기 괜챤고 밥이특히나 맛죠은데 찾아가고싶군요. 라씨? 음료는 상했네요. 먹던거랑틀려요.
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(램 （Lamb）),세트 추가선택（SET UPGRADE）(감자튀김 ＋ 레몬에이드 [Lemonade] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(치킨 （Chicken）))",sh,제가 터키에 오래살았는데 한국에서 먹어본 케밥집 중 가장 터키스러운 맛이라 진심 감동하면서 난생 처음 리뷰남깁니다. 개인적으로 특히 이스켄데르 너무 터키맛이라 추천해요. Ellerinize sağlık! Tam özlediğim lezzeti!
킹케밥-홍대점,4,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1(EXTRA 추가선택(양갈비 1개 추가 （Meat）)),초콜릿 푸딩 （Chocolate Puding）/1",kk,"완벽하진 않았지만, 각종 현실적 허들을 감안하면 꽤 괜찮았습니다. 종합적으로 아다나 > 치킨 시시 > 나머지 순 정도로 괜찮아요."
킹케밥-홍대점,1,1,	,si,"
킹 케밥 （King Kebab）/1(메뉴 선택(팔라펠 킹 케밥 （Falafel）)),킹 케밥 （King Kebab）/1(메뉴 선택(램 킹 케밥 （Lamb）))"
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1(세트 추가선택（SET UPGRADE）(감자튀김 ＋ 콜라 [Coke] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Lamb）))",zz,간만에 맛나게 먹었습니다~~~~~
킹케밥-홍대점,5,5,"비프 케밥 （Beef Kebab）/1,치즈 케밥 （Cheesy Kebab）/1(메뉴 선택(치킨 치즈 케밥 （Chicken）))",hy,여기 정말 맛집 입니다
킹케밥-홍대점,5,5,"램 케밥 （Lamb Kebab）/1(EXTRA 추가선택(고기 추가 [Meat])),킹 케밥 （King Kebab）/1(메뉴 선택(믹스 킹 케밥 （Mix）)),이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(믹스 （Mix）))",gh,맛있게 잘 먹었습니다!!
킹케밥-홍대점,5,5,"믹스 케밥 （Mix Kebab）/1(EXTRA 추가선택(치즈 추가 [Cheese]),EXTRA 추가선택(고기 추가 [Meat]),EXTRA 추가선택(라이스 추가 [Rice]))",oh,평소에 맛있게잘먹어서 안좋은얘기 하고싶지않았는데 적을수밖에 없을거같아요. 배달 한시간이 지나도록 완료가안돼서 뭔가싶었습니다. 바쁜가보다 하고 이해하고 기다렸는데 옆집이웃께서 배달 오배송됐다고 새벽1시에 전해주러오신거 보고 기겁했네요. 배달완료문자 보내달라고 적어뒀는데 문자도 안보내주셔서 배달완료는 언제된지도 모르겠고..잘주무시던 이웃깨운거에 죄송하고.. 정말 어이없는 상황에 실망하고 잘적지않는 장문 리뷰적습니다. 이런일 다시는 발생하지않았으면 좋겠습니다.
킹케밥-홍대점,3,4,램 케밥 （Lamb Kebab）/2,lo,양 그낭저냥 배달적당함 맛은별로에요
킹케밥-홍대점,5,5,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(치킨 （Chicken）)),lj,와 진짜 넘 맛있게 잘 먹었습니다 자주 시켜먹을 거 같아요 케밥 터키에서 잘 못 먹고 별로라고 생각했는데 .. 제 인식을 바꿔준 맛집입니다.
킹케밥-홍대점,5,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1,아이란 （Ayran）/1",dr,고기 괜챤고 밥이특히나 맛죠은데 찾아가고싶군요. 라씨? 음료는 상했네요. 먹던거랑틀려요.
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(램 （Lamb）),세트 추가선택（SET UPGRADE）(감자튀김 ＋ 레몬에이드 [Lemonade] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(치킨 （Chicken）))",sh,제가 터키에 오래살았는데 한국에서 먹어본 케밥집 중 가장 터키스러운 맛이라 진심 감동하면서 난생 처음 리뷰남깁니다. 개인적으로 특히 이스켄데르 너무 터키맛이라 추천해요. Ellerinize sağlık! Tam özlediğim lezzeti!
킹케밥-홍대점,4,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1(EXTRA 추가선택(양갈비 1개 추가 （Meat）)),초콜릿 푸딩 （Chocolate Puding）/1",kk,"완벽하진 않았지만, 각종 현실적 허들을 감안하면 꽤 괜찮았습니다. 종합적으로 아다나 > 치킨 시시 > 나머지 순 정도로 괜찮아요."
킹케밥-홍대점,1,1,	,si,"
킹 케밥 （King Kebab）/1(메뉴 선택(팔라펠 킹 케밥 （Falafel）)),킹 케밥 （King Kebab）/1(메뉴 선택(램 킹 케밥 （Lamb）))"
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1(세트 추가선택（SET UPGRADE）(감자튀김 ＋ 콜라 [Coke] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Lamb）))",zz,간만에 맛나게 먹었습니다~~~~~
킹케밥-홍대점,5,5,"비프 케밥 （Beef Kebab）/1,치즈 케밥 （Cheesy Kebab）/1(메뉴 선택(치킨 치즈 케밥 （Chicken）))",hy,여기 정말 맛집 입니다
킹케밥-홍대점,5,5,"램 케밥 （Lamb Kebab）/1(EXTRA 추가선택(고기 추가 [Meat])),킹 케밥 （King Kebab）/1(메뉴 선택(믹스 킹 케밥 （Mix）)),이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(믹스 （Mix）))",gh,맛있게 잘 먹었습니다!!
킹케밥-홍대점,5,5,"믹스 케밥 （Mix Kebab）/1(EXTRA 추가선택(치즈 추가 [Cheese]),EXTRA 추가선택(고기 추가 [Meat]),EXTRA 추가선택(라이스 추가 [Rice]))",oh,평소에 맛있게잘먹어서 안좋은얘기 하고싶지않았는데 적을수밖에 없을거같아요. 배달 한시간이 지나도록 완료가안돼서 뭔가싶었습니다. 바쁜가보다 하고 이해하고 기다렸는데 옆집이웃께서 배달 오배송됐다고 새벽1시에 전해주러오신거 보고 기겁했네요. 배달완료문자 보내달라고 적어뒀는데 문자도 안보내주셔서 배달완료는 언제된지도 모르겠고..잘주무시던 이웃깨운거에 죄송하고.. 정말 어이없는 상황에 실망하고 잘적지않는 장문 리뷰적습니다. 이런일 다시는 발생하지않았으면 좋겠습니다.
킹케밥-홍대점,3,4,램 케밥 （Lamb Kebab）/2,lo,양 그낭저냥 배달적당함 맛은별로에요
킹케밥-홍대점,5,5,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(치킨 （Chicken）)),lj,와 진짜 넘 맛있게 잘 먹었습니다 자주 시켜먹을 거 같아요 케밥 터키에서 잘 못 먹고 별로라고 생각했는데 .. 제 인식을 바꿔준 맛집입니다.
킹케밥-홍대점,5,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1,아이란 （Ayran）/1",dr,고기 괜챤고 밥이특히나 맛죠은데 찾아가고싶군요. 라씨? 음료는 상했네요. 먹던거랑틀려요.
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(램 （Lamb）),세트 추가선택（SET UPGRADE）(감자튀김 ＋ 레몬에이드 [Lemonade] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(치킨 （Chicken）))",sh,제가 터키에 오래살았는데 한국에서 먹어본 케밥집 중 가장 터키스러운 맛이라 진심 감동하면서 난생 처음 리뷰남깁니다. 개인적으로 특히 이스켄데르 너무 터키맛이라 추천해요. Ellerinize sağlık! Tam özlediğim lezzeti!
킹케밥-홍대점,4,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1(EXTRA 추가선택(양갈비 1개 추가 （Meat）)),초콜릿 푸딩 （Chocolate Puding）/1",kk,"완벽하진 않았지만, 각종 현실적 허들을 감안하면 꽤 괜찮았습니다. 종합적으로 아다나 > 치킨 시시 > 나머지 순 정도로 괜찮아요."
킹케밥-홍대점,1,1,	,si,"
킹 케밥 （King Kebab）/1(메뉴 선택(팔라펠 킹 케밥 （Falafel）)),킹 케밥 （King Kebab）/1(메뉴 선택(램 킹 케밥 （Lamb）))"
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1(세트 추가선택（SET UPGRADE）(감자튀김 ＋ 콜라 [Coke] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Lamb）))",zz,간만에 맛나게 먹었습니다~~~~~
킹케밥-홍대점,5,5,"비프 케밥 （Beef Kebab）/1,치즈 케밥 （Cheesy Kebab）/1(메뉴 선택(치킨 치즈 케밥 （Chicken）))",hy,여기 정말 맛집 입니다
킹케밥-홍대점,5,5,"램 케밥 （Lamb Kebab）/1(EXTRA 추가선택(고기 추가 [Meat])),킹 케밥 （King Kebab）/1(메뉴 선택(믹스 킹 케밥 （Mix）)),이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(믹스 （Mix）))",gh,맛있게 잘 먹었습니다!!
킹케밥-홍대점,5,5,"믹스 케밥 （Mix Kebab）/1(EXTRA 추가선택(치즈 추가 [Cheese]),EXTRA 추가선택(고기 추가 [Meat]),EXTRA 추가선택(라이스 추가 [Rice]))",oh,평소에 맛있게잘먹어서 안좋은얘기 하고싶지않았는데 적을수밖에 없을거같아요. 배달 한시간이 지나도록 완료가안돼서 뭔가싶었습니다. 바쁜가보다 하고 이해하고 기다렸는데 옆집이웃께서 배달 오배송됐다고 새벽1시에 전해주러오신거 보고 기겁했네요. 배달완료문자 보내달라고 적어뒀는데 문자도 안보내주셔서 배달완료는 언제된지도 모르겠고..잘주무시던 이웃깨운거에 죄송하고.. 정말 어이없는 상황에 실망하고 잘적지않는 장문 리뷰적습니다. 이런일 다시는 발생하지않았으면 좋겠습니다.
킹케밥-홍대점,3,4,램 케밥 （Lamb Kebab）/2,lo,양 그낭저냥 배달적당함 맛은별로에요
킹케밥-홍대점,5,5,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(치킨 （Chicken）)),lj,와 진짜 넘 맛있게 잘 먹었습니다 자주 시켜먹을 거 같아요 케밥 터키에서 잘 못 먹고 별로라고 생각했는데 .. 제 인식을 바꿔준 맛집입니다.
킹케밥-홍대점,5,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1,아이란 （Ayran）/1",dr,고기 괜챤고 밥이특히나 맛죠은데 찾아가고싶군요. 라씨? 음료는 상했네요. 먹던거랑틀려요.
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(램 （Lamb）),세트 추가선택（SET UPGRADE）(감자튀김 ＋ 레몬에이드 [Lemonade] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(치킨 （Chicken）))",sh,제가 터키에 오래살았는데 한국에서 먹어본 케밥집 중 가장 터키스러운 맛이라 진심 감동하면서 난생 처음 리뷰남깁니다. 개인적으로 특히 이스켄데르 너무 터키맛이라 추천해요. Ellerinize sağlık! Tam özlediğim lezzeti!
킹케밥-홍대점,4,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1(EXTRA 추가선택(양갈비 1개 추가 （Meat）)),초콜릿 푸딩 （Chocolate Puding）/1",kk,"완벽하진 않았지만, 각종 현실적 허들을 감안하면 꽤 괜찮았습니다. 종합적으로 아다나 > 치킨 시시 > 나머지 순 정도로 괜찮아요."
킹케밥-홍대점,1,1,	,si,"
킹 케밥 （King Kebab）/1(메뉴 선택(팔라펠 킹 케밥 （Falafel）)),킹 케밥 （King Kebab）/1(메뉴 선택(램 킹 케밥 （Lamb）))"
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1(세트 추가선택（SET UPGRADE）(감자튀김 ＋ 콜라 [Coke] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Lamb）))",zz,간만에 맛나게 먹었습니다~~~~~
킹케밥-홍대점,5,5,"비프 케밥 （Beef Kebab）/1,치즈 케밥 （Cheesy Kebab）/1(메뉴 선택(치킨 치즈 케밥 （Chicken）))",hy,여기 정말 맛집 입니다
킹케밥-홍대점,5,5,"램 케밥 （Lamb Kebab）/1(EXTRA 추가선택(고기 추가 [Meat])),킹 케밥 （King Kebab）/1(메뉴 선택(믹스 킹 케밥 （Mix）)),이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(믹스 （Mix）))",gh,맛있게 잘 먹었습니다!!
킹케밥-홍대점,5,5,"믹스 케밥 （Mix Kebab）/1(EXTRA 추가선택(치즈 추가 [Cheese]),EXTRA 추가선택(고기 추가 [Meat]),EXTRA 추가선택(라이스 추가 [Rice]))",oh,평소에 맛있게잘먹어서 안좋은얘기 하고싶지않았는데 적을수밖에 없을거같아요. 배달 한시간이 지나도록 완료가안돼서 뭔가싶었습니다. 바쁜가보다 하고 이해하고 기다렸는데 옆집이웃께서 배달 오배송됐다고 새벽1시에 전해주러오신거 보고 기겁했네요. 배달완료문자 보내달라고 적어뒀는데 문자도 안보내주셔서 배달완료는 언제된지도 모르겠고..잘주무시던 이웃깨운거에 죄송하고.. 정말 어이없는 상황에 실망하고 잘적지않는 장문 리뷰적습니다. 이런일 다시는 발생하지않았으면 좋겠습니다.
킹케밥-홍대점,3,4,램 케밥 （Lamb Kebab）/2,lo,양 그낭저냥 배달적당함 맛은별로에요
킹케밥-홍대점,5,5,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(치킨 （Chicken）)),lj,와 진짜 넘 맛있게 잘 먹었습니다 자주 시켜먹을 거 같아요 케밥 터키에서 잘 못 먹고 별로라고 생각했는데 .. 제 인식을 바꿔준 맛집입니다.
킹케밥-홍대점,5,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1,아이란 （Ayran）/1",dr,고기 괜챤고 밥이특히나 맛죠은데 찾아가고싶군요. 라씨? 음료는 상했네요. 먹던거랑틀려요.
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(램 （Lamb）),세트 추가선택（SET UPGRADE）(감자튀김 ＋ 레몬에이드 [Lemonade] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(치킨 （Chicken）))",sh,제가 터키에 오래살았는데 한국에서 먹어본 케밥집 중 가장 터키스러운 맛이라 진심 감동하면서 난생 처음 리뷰남깁니다. 개인적으로 특히 이스켄데르 너무 터키맛이라 추천해요. Ellerinize sağlık! Tam özlediğim lezzeti!
킹케밥-홍대점,4,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1(EXTRA 추가선택(양갈비 1개 추가 （Meat）)),초콜릿 푸딩 （Chocolate Puding）/1",kk,"완벽하진 않았지만, 각종 현실적 허들을 감안하면 꽤 괜찮았습니다. 종합적으로 아다나 > 치킨 시시 > 나머지 순 정도로 괜찮아요."
킹케밥-홍대점,1,1,	,si,"
킹 케밥 （King Kebab）/1(메뉴 선택(팔라펠 킹 케밥 （Falafel）)),킹 케밥 （King Kebab）/1(메뉴 선택(램 킹 케밥 （Lamb）))"
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1(세트 추가선택（SET UPGRADE）(감자튀김 ＋ 콜라 [Coke] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Lamb）))",zz,간만에 맛나게 먹었습니다~~~~~
킹케밥-홍대점,5,5,"비프 케밥 （Beef Kebab）/1,치즈 케밥 （Cheesy Kebab）/1(메뉴 선택(치킨 치즈 케밥 （Chicken）))",hy,여기 정말 맛집 입니다
킹케밥-홍대점,5,5,"램 케밥 （Lamb Kebab）/1(EXTRA 추가선택(고기 추가 [Meat])),킹 케밥 （King Kebab）/1(메뉴 선택(믹스 킹 케밥 （Mix）)),이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(믹스 （Mix）))",gh,맛있게 잘 먹었습니다!!
킹케밥-홍대점,5,5,"믹스 케밥 （Mix Kebab）/1(EXTRA 추가선택(치즈 추가 [Cheese]),EXTRA 추가선택(고기 추가 [Meat]),EXTRA 추가선택(라이스 추가 [Rice]))",oh,평소에 맛있게잘먹어서 안좋은얘기 하고싶지않았는데 적을수밖에 없을거같아요. 배달 한시간이 지나도록 완료가안돼서 뭔가싶었습니다. 바쁜가보다 하고 이해하고 기다렸는데 옆집이웃께서 배달 오배송됐다고 새벽1시에 전해주러오신거 보고 기겁했네요. 배달완료문자 보내달라고 적어뒀는데 문자도 안보내주셔서 배달완료는 언제된지도 모르겠고..잘주무시던 이웃깨운거에 죄송하고.. 정말 어이없는 상황에 실망하고 잘적지않는 장문 리뷰적습니다. 이런일 다시는 발생하지않았으면 좋겠습니다.
킹케밥-홍대점,3,4,램 케밥 （Lamb Kebab）/2,lo,양 그낭저냥 배달적당함 맛은별로에요
킹케밥-홍대점,5,5,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(치킨 （Chicken）)),lj,와 진짜 넘 맛있게 잘 먹었습니다 자주 시켜먹을 거 같아요 케밥 터키에서 잘 못 먹고 별로라고 생각했는데 .. 제 인식을 바꿔준 맛집입니다.
킹케밥-홍대점,5,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1,아이란 （Ayran）/1",dr,고기 괜챤고 밥이특히나 맛죠은데 찾아가고싶군요. 라씨? 음료는 상했네요. 먹던거랑틀려요.
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1,이스켄데르 케밥 （Iskender Kebab）/1(메뉴 선택(램 （Lamb）),세트 추가선택（SET UPGRADE）(감자튀김 ＋ 레몬에이드 [Lemonade] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(치킨 （Chicken）))",sh,제가 터키에 오래살았는데 한국에서 먹어본 케밥집 중 가장 터키스러운 맛이라 진심 감동하면서 난생 처음 리뷰남깁니다. 개인적으로 특히 이스켄데르 너무 터키맛이라 추천해요. Ellerinize sağlık! Tam özlediğim lezzeti!
킹케밥-홍대점,4,5,"믹스 기릴 케밥 （Mix Grill Kebab）/1(EXTRA 추가선택(양갈비 1개 추가 （Meat）)),초콜릿 푸딩 （Chocolate Puding）/1",kk,"완벽하진 않았지만, 각종 현실적 허들을 감안하면 꽤 괜찮았습니다. 종합적으로 아다나 > 치킨 시시 > 나머지 순 정도로 괜찮아요."
킹케밥-홍대점,1,1,	,si,"
킹 케밥 （King Kebab）/1(메뉴 선택(팔라펠 킹 케밥 （Falafel）)),킹 케밥 （King Kebab）/1(메뉴 선택(램 킹 케밥 （Lamb）))"
킹케밥-홍대점,5,5,"치킨 케밥 （Chicken Kebab）/1(세트 추가선택（SET UPGRADE）(감자튀김 ＋ 콜라 [Coke] 추가)),케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Lamb）))",zz,간만에 맛나게 먹었습니다~~~~~
